ENGLISH,ARABIC,FRENCH,CATEGORY
Lemon Myrtle,مرتل الليمون,Myrte Citron,
Lemon Oil,زيت الليمون,Huile de citron,
Lemon Pie,فطيرة الليمون,Tarte au citron,
Lemon Verbena,لويزة ليمونية,Verveine Citron,
Lemonade,ليموناضة,limonade,
Lemongrass,أوراق الليمون,Citronnelle,
Lemongrass Oil,زيت أوراق الليمون,Huile de citronnelle,
Lentils,عدس,Lentilles,
Lettuce,خس,Laitue,
Leucine,حمض الليوسين,Leucine,
Levulose,سكر الفاكهة,Lévulose,
Levulose Bearing Syrup,شراب بسكر الفاكهة,Sirop à lévulose,
Liangpi,نودلز ليانجبي,Liangpi,
Liangpi Noodles,نودلز ليانجبي,Nouilles Liangpi,
Licorice,سوس,Réglisse,
Life Savers,منقذي الحياة,Life Savers,
Lima Bean,فاصوليا بيضاء,Haricot de Lima,
Limca,شراب ليمكا,Limca,
Lime,لومي,Citron vert,
Lime Extract,مستخلص اللومي,Extrait de chaux,
Lime Juice,عصير اللومي,Jus de citron vert,
Lime Oil,زيت اللومي,Huile de chaux,
Limestone,حجر جيري,Calcaire,
Limonene,الليمونين,Limonene,
Linalyl Isobutyrate,,Isobutyrate de linalyle,
Ling Cod,سمك القد,Morue lingue,
Lingcod,سمك القد,Morue lingue,
Lingonberry Jam,مربى عنب الثور,Confiture de baies,
Linguine,باستا لينغويني,Pâtes linguines,
Lipase,انزيم الليباز,Lipase,
Lithol Rubine,,Lithol Rubine,
Lithol Rubine BK,,Lithol Rubine BK,
Litholrubine,,Litholrubine,
Litholrubine BK,,Litholrubine BK,
Little Tunny,سمكة الكبريت,Thonine commune,
Liver,كبد,Foie,
Liverpool Tart,تارت ليفربول,Tarte de Liverpool,
Liverwurst,نقانق لحم الكبد,Pâté de foie,
Llama,لاما,Lama,
Lobster,كركند,Homard,
Loco,,Locomotive,
Locust,جراد,Criquet,
Locust Bean Gum,صمغ شجرة الجراد,Gomme de caroube,
Locust bean gum carob gum,صمغ شجرة الجراد,Gomme de caroube,
Long Pepper,فلفل طويل,Poivre long,
Longan,فاكهة اللونجان,Longan,
Longtail Tuna,سمك التونة الطويل,Thon à queue longue,
Lonza,,Lonza,
Lonza stagionata,,Lonza stagionata,
Loquat,الأكيدنيا,Loquat,
Lorighittas,باستا لوريغيتاس,Lorighittas,
Lovage,كاشم رومي,Lovage,
Low Moisture,رطوبة منخفضة,Faible humidité,
Low Sodium,قليل الصوديوم,Faible teneur en sodium,
Low Methoxyl Pectin,منخفض ميثوكسيل البكتين,Pectine à faible teneur en méthoxyle,
Lucky Charms,تعويذات جالبة للحظ,Porte bonheurs,
Lucozade,شراب لوكازود الغازي,Lucozade,
Lumache,باستا لوماتشي,Lumache,
Lumpfish Roe,سمك السلمون المرقط,Œufs de lompe,
Luncheon Meat,لحم لانشون,Viande de déjeuner,
Luo Han Guo,,Luo Han Guo,
Luohanguo,,Luohanguo,
Lutein,لوتين,Lutéine,
Lychee,ليتشي,Litchi,
Lycopene,الليكوبين,Lycopène,
Lysine,حمض اللايسين,Lysine,
Lysozyme,إنزيم الليزوزيم,Lysozyme,
M Azing,حلوى ميزنج,M Azing,
M&M's,أم أند أمز,M&M's,
Macadamia,المكاديميا,Macadamia,
Macadamia Nut,جوز المكاديميا,Noix de macadamia,
Macadamia Oil,زيت جوز المكاديميا,Huile de macadamia,
Macaroni,باستا,Macaroni,
Macaroons,حلويات الماكرون,Macarons,
Maccheroncelli,باستا ماكشيرونشيلي,Maccheroncelli,
Maccheroncini di Campofilone,باستا ماكشيرونشيلي,Maccheroncini di Campofilone,
Maccheroni,ماكشيروني,Maccheroni,
Maccheroni alla Molinara,ماكشيروني ألا مولينارا,Maccheroni alla Molinara,
Mace,بهارات جوزة الطيب,Noix de muscade,
Mackerel,سمك الأسقمري البحري,Maquereau,
Mackerel Tuna,سمك التونة الإسقمري,Thon maquereau,
Madeira,الماديرا,Madère,
Madeira Cake,كيك ماديرا,Gâteau au madère,
Mafalde,باستا مافالدي,Mafalde,
Mafaldine,باستا مافالديني,Mafaldine,
Magnesium,المغنيسيوم,Magnésium,
Magnesium Mg,المغنيسيوم,Magnésium Mg,
Magnesium Carbonate,كربونات المغنيسيوم,Carbonate de magnésium,
Magnesium carbonates,كربونات المغنيسيوم,Carbonates de magnésium,
Magnesium Caseinate,,Caséinate de magnésium,
Magnesium Chloride,كلوريد المغنيسيوم,Chlorure de magnésium,
Magnesium Citrate,سيترات المغنيسيوم,Citrate de magnésium,
Magnesium Diglutamate,,Diglutamate de magnésium,
Magnesium Hydroxide,هيدروكسيد المغنيسيوم,Hydroxyde de magnésium,
Magnesium Lactate,لاكتات المغنيسيوم,Lactate de magnésium,
Magnesium Laurate,لورات المغنيسيوم,Laurate de magnésium,
Magnesium Myristate,,Myristate de magnésium,
Magnesium Oleate,,Oléate de magnésium,
Magnesium Oxide,أكسيد المغنيسيوم,Oxyde de magnésium,
Magnesium Palmitate,,Palmitate de magnésium,
Magnesium Phosphate,فوسفات المغنيسيوم,Phosphate de magnésium,
Magnesium phosphates,فوسفات المغنيسيوم,Phosphates de magnésium,
Magnesium Salts of Fatty Acids,أملاح المغنيسيوم من الأحماض الدهنية,Sels de magnésium d'acides gras,
Magnesium salts of fatty acids,,Sels de magnésium d'acides gras,
Magnesium Silicate,سيليكات المغنسيوم,Silicate de magnésium,
Magnesium Stearate,ستيرات المغنيسيوم,Stéarate de magnésium,
Magnesium Sulfate,كبريتات المغنيسيوم,Sulfate de magnésium,
Magnesium Sulphate,كبريتات المغنيسيوم,Sulfate de magnésium,
Magnesium trisilicate,,Trisilicate de magnésium,
Magnesium Mg,المغنيسيوم,Magnésium Mg,
Maguey Worm,دودة ماجوي,Ver Maguey,
Mahaleb,الكرز البري,Mahaleb,
Mahaleb Cherry,الكرز البري,Mahaleb Cherry,
Mahi Mahi,ماهي ماهي,Mahi Mahi,
Mahlab,الكرز البري,Mahlab,
Mahleb,الكرز البري,Mahleb,
Maida Flour,طحين المائدة,Farine Maida,
Maids of Honour Tart,تارت ميد أوف أونور,Tarte aux filles d'honneur,
Maize Meal,,Farine de maïs,
Maize Semolina,سميد الذرة,Semoule de maïs,
Maize Starch,نشا الذرة,Amidon de maïs,
Majdoule Cheese,جبنة مجدولة,Fromage Majdoule,
Majdouli Cheese,جبنة مجدولة,Fromage Majdouli,
Majmunovaca,,Majmunovaca,
Makgeolli,مشروب الماكجيولي الكوري,Makgeolli,
Makkoli,مشروب الماكجيولي الكوري,Makkol,
Malabar Plum,,Prune de Malabar,
Malabathrum,,Malabathrum,
Malabathrum Leaf,,Feuille de malabathrum,
Malic Acid,حمض الماليك,Acide malique,
Mallard,بط بري,Colvert,
Malloreddus,باستا ماليريدوس,Malloreddus,
Malt,شعير,Malt,
Malt Extract,مستخلص الشعير,Extrait de malt,
Malt Flour,دقيق الشعير,Farine de malt,
Malt Syrup,شراب الشعبر,Sirop de malt,
Malt Vinegar,خل الشعير,Vinaigre de malt,
Malt Vinegar from barley,خل الشعير من الشعير,Vinaigre de malt à partir d'orge,
Maltagliati,,Maltagliati,
Malted,شعير,Malté,
Malted Barley,الشعير المملح,Orge maltée,
Malted barley flour,دقيق الشعير المملح,Farine d'orge malté,
Malted Cereal Syrup,شراب الحبوب المملح,Sirop de céréales maltée,
Malted Milk,حليب مملح,Lait malté,
Maltesers,مالتيزرز,Maltesers,
Maltitol,المالتيتول,Maltitol,
Maltitol syrup,شراب المالتيتول,Sirop de maltitol,
Maltodextrin,مالتوديكسترين,Maltodextrine,
Maltol,المالتول,Maltol,
Maltose,سكر الشعير,Maltose,
Malvern Pudding,بودنغ مالفيرن,Pudding de Malvern,
Mamajuana,,Mamajuana,
Mamin Chino,,Mamin Chino,
Manchester Tart,تارت مانشستر,Tarte de Manchester,
Mandarin,يوسفي,Mandarine,
Mandarin Oil,زيت اليوسفي,Huile de mandarine,
Mandarine,يوسفي,Mandarine,
Manganese,المنغنيز,Manganèse,
Manganese Chloride,كلوريد المنغنيز,Chlorure de manganèse,
Manganese Citrate,سترات المنغنيز,Citrate de manganèse,
Manganese Gluconate,غلوكونات المنغنيز,Gluconate de manganèse,
Manganese Sulfate,كبريتات المنغنيز,Sulfate de manganèse,
Manganese Sulphate,كبريتات المنغنيز,Sulfate de manganèse,
Mangel wurzel,,Mangel Wurzel,
Mangelwurzel,,Mangelwurzel,
Mangetout,البازلا,Mange tout,
Mango,مانجو,Mangue,
Mangosteen,مانغوستين,Mangoustan,
Manicotti,باستا مانيكوتي,Manicotti,
Mannitol,مانيتول,Mannitol,
Manx Spirit,كحول مانكس,Spirit Manx,
Maotai,مشروب ماوتاي,Maotai,
Maple Sugar,سكر القيقب,Sucre d'érable,
Maple Syrup,شراب القيقب,Sirop d'érable,
Maraschino Cherries,الكرز المسكر,Cerises au marasquin,
Marble Cake,كيك الماربل,Gâteau marbré,
Marc,,Marc,
Margarine,سمن نباتي,Margarine,
Marie Biscuit,بسكوت ماري,Biscuit Marie,
Marille,مشمش,Marille,
Marinara Sauce,صلصة مارينارا,Sauce marinara,
Marionberry,توت أسود,Marionberry,
Marjoram,مردقوش,Marjolaine,
Marmite,مارمايت,Marmite,
Marrow,نخاع,Moelle,
Mars Bar,حلوى مارس,Barre Mars,
Marsala,نبيذ مارسالا,Marsala,
Maryland Cookie,كوكي ميريلاند,Maryland Cookie,
Marzen,بيرة مارزن,Marzen,
Marzen Beer,مارزين بير,Bière Marzen,
Masago,سمك الكبلين,Masago,
Masala Dosa,ماسالا دوسا,Masala Dosa,
Masato,مشروب ماساتو,Masato,
Mascarpone,جبنة مسكربون,Mascarpone,
Mastic,المستكة,Mastique,
Matriciani,باستا ماتريشياني,Matriciani,
Matzoon,لبن رائب,Matzoon,
May Contain,قد يحتوي على,Peut contenir,
May Contain Nuts,قد يحتوي على مكسرات,Peut contenir des noix,
May contain other nuts,قد يحتوي على أنواع مكسرات أخرى,Peut contenir d'autres noix,
May contain traces of,قد يحتوي على مكونات,Peut contenir des traces de,
May Contain:,قد يحتوي على:,Peut contenir:,
Mayonnaise,مايونيز,Mayonnaise,
Mead,مشروب الميد,Hydromel,
Mead Distilled,ميد ، مقطر,Mead distillé,
Meadowfoam Seed Oil,زيت بذور المرج,Huile de graines de prairie,
Meat and Potato Pie,فطيرة اللحم والبطاطس,Tourte à la viande et aux pommes de terre,
Meat Pie,فطيرة اللحم,Tourte à la viande,
Meatloaf,رغيف اللحم,Pain de viande,
Medium,متوسط,Moyen,
Medronho,مشروب ميدرونو,Medronho,
Mega purple,مركز عصير العنب,Méga violet,
Melanin,الميلانين,Mélanine,
Melegueta Pepper,فلفل ميليجويتا,Piment Melegueta,
Melon,شمام,Melon,
Melon Cantaloupe,شرائح شمام,Melon cantaloup,
Melon Honeydew,شمام، عسلي,Melon miellat,
Melon Watermelon,بطيخ,Melon pastèque,
Melting Cheese,جبنة ذائبة,Fromage fondant,
Menhaden Oil,,Huile de menhaden,
Mentha Arvensis Oil,زيت النعناع الحقلي,Huile de mentha arvensis,
Mentsuyu,,Mentsuyu,
Merisa,,Merisa,
Metatartaric Acid,,Acide métatartrique,
Metaxa,,Metaxa,
Methacrylic Acid–Divinylbenzene Copolymer,,Copolymère d'acide méthacrylique et de divinylbenzène,
Methionine,,Méthionine,
Methyl 2 Methylthiopropionate,,Méthyl 2 méthylthiopropionate,
Methyl B Naphthyl Ketone,,Méthyle B Naphthyl Cétone,
Methyl Butyrate,,Butyrate de méthyle,
Methyl cellulose,,Méthylcellulose,
Methyl Cyclopentenolone,,Méthyle cyclopenténolone,
Methyl Disulfide,,Méthyl disulfure,
Methyl Disulphide,,Méthyl disulfure,
Methyl Ethyl Cellulose,,Cellulose de méthyle éthyle,
Methyl Hexenoate,,Hexénoate de méthyle,
Methyl Isobutyrate,,Isobutyrate de méthyle,
Methyl p Hydroxybenzoate,,P Hydroxybenzoate de méthyle,
Methyl Polysilicone,,Polysilicone de méthyle,
Methyl Silicone,,Silicone méthylique,
Methylcellulose,,Méthylcellulose,
Methylparaben,,Méthylparaben,
Methyltheobromine,,Méthylthéobromine,
Mettwurst,نقانق ألمانية,Mettwurst,
Mexican,مكسيكي,Mexicain,
Mexican Cheese Blend,خليط أجبان مكسيكي,Mélange de fromages mexicains,
Mexican Style,طراز مكسيكي,Style mexicain,
Mexican Turnip,اللفت المكسيكي,Navet mexicain,
Mexican Yam Bean,فول يام المكسيكي,Haricot mexicain,
Mezcal,,Mezcal,
Mezzani,,Mezzani,
Mezze Maniche,مقبلات باستا مانيش,Mezze Maniche,
Mezze Penne,مقبلات باستا بيني,Mezze Penne,
Mezzelune,باستا مدزلونه,Mezzelune,
Mezzi Bombardoni,باستا بومبارديني,Mezzi Bombardoni,
mgL,مل غم لتر,mgl,
Microcrystalline Cellulose,,Cellulose microcristalline,
Microcrystalline wax,شمع الجريزوفولفين,Cire microcristalline,
Microparticulated Protein Product,,Produit protéique microparticulé,
Midoline,,Midoline,
Mie Goreng,مي جورينج,Mie Goreng,
Mie Goreng Noodles,نودلز مي جورينج,Nouilles Mie Goreng,
Mielie Meal,,Mielie Meal,
Mien Noodles,نودلز ماين,Nouilles Mien,
Migan,ميغان,Migan,
Migan Noodles,نودلز ميغان,Nouilles Migan,
Mild,معتدل,Doux,
Mild Ale,بيرة خفيفة,Bière douce,
Milk,حليب,Lait,
Milk Albuminate,,Lait albuminé,
Milk Chocolate,حليب شوكولاتة,Chocolat au lait,
Milk Chocolate Hobnobs,هوب نوبس بشوكولاتة الحليب,Hobnobs au chocolat au lait,
Milk Fat,دسم الحليب,Matière grasse du lait,
Milk Powder,حليب جاف,Lait en poudre,
Milk proteins,بروتينات الحليب,Protéines de lait,
Milk Solids Not Fat,حليب صلب بدون دهون,Solide non gras du lait,
Milk Sugar,سكر الحليب,Sucre de lait,
Milk Thistle,الخرفيش,Chardon marie,
Milkfat,دسم الحليب,Matière grasse du lait,
Milkfat Anhydrous,دسم الحليب ، غير مائي,Matière grasse lactique anhydre,
Milky Way,شوكولاتة ميلكي واي,Barre Milky Way,
Milkybar,ميلكي بار,Barre Milky,
Millet,حبوب الدُخن,Millet,
Millet Beer,بيرة حبوب الدُخن,Bière de millet,
Mince Pie,فطيرة اللحم المفروم,Mince Pie,
Minced Meat,لحم مفروم,Viande hachée,
Minerals,معادن,Minéraux,
Mini Sweet Pepper,فلفل حلو صغير,Mini poivron,
Mint,نعنع,Menthe,
Mint Geranium,مسك النعناع,Géranium à la menthe,
Mint Sauce,صلصة نعناع,Sauce à la menthe,
Miracle Fruit,,Fruit miracle,
Mirin,توابل الميرين,Mirin,
Miso,ميسو,Miso,
Misua,ميسوا,Misua,
Misua Noodles,نودلز ميسوا,Nouilles Misua,
Mixed acetic and tartaric acid esters of mono And diglycerides of fatty acids,,Esters mixtes d’acides acétique et tartrique de mono Et diglycérides d'acides gras,
Mixed Pickles,مخللات مشكلة,Cornichons mélangés,
Mixed tocopherols,,Tocophérols mélangés,
Mixian,ميكسيان,Mixien,
Mixian Noodles,نودلز ميكسيان,Nouilles Mixian,
Modified cornflour,دقيق الذرة المعدل,Farine de maïs modifiée,
Modified cornstarch,نشا الذرة المعدل,Amidon de maïs modifié,
Modified cornstarch added to prevent caking,نشا الذرة المعدل المضاف لمنع التكتل,Fécule de maïs modifiée ajoutée pour empêcher la prise en masse,
Modified Food Starch,نشا الطعام المعدلة,Amidon alimentaire modifié,
Modified Hop Extract,,Extrait de houblon modifié,
Modified Starch,نشا معدل,Amidon modifié,
Moi,موي,Polynemidae,
Moi Fish,سمك موي,Poisson polynemidae,
Molasses,دبس,Mélasse,
Molasses Extract,مستخلص الدبس,Extrait de mélasse,
Molybdenum,الموليبدينوم,Molybdène,
Monk Fruit,فاكهة الراهب,Fruit de moine,
Monkfish,سمكة الراهب,Lotte,
Mono and diacetyltartaric acid esters of mono and diglycerides of fatty acids,,Esters d'acide mono et diacétyltartrique de mono et diglycérides d'acides gras,
Mono and Diglycerides,,Mono et diglycérides,
Mono and Diglycerides of Fatty Acids,,Mono et diglycérides d'acides gras,
Mono Potassium Phosphate,,Phosphate mono potassique,
Mono Tertiary Butylhydroquinone,,Mono tertiaire butylhydroquinone,
Monoammonium Glutamate,,Glutamate monoammonique,
Monoammonium Glycyrrhizinate,,Glycyrrhizinate de monoammonium,
Monoammonium L Glutamate,,L glutamate monoammonique,
Monocalcium Phosphate,,Phosphate monocalcique,
Monoglyceride,,Monoglycéride,
Monoglyceride Citrate,,Citrate de monoglycéride,
Monoglyceride Distilled,,Monoglycéride distillé,
Monoisopropyl Citrate,,Citrate de Monoisopropyle,
Monopotassium Glutamate,,Glutamate de monopotassium,
Monopotassium Monophosphate,,Monophosphate monopotassique,
Monopotassium Phosphate,,Phosphate monopotassique,
Monosodium Dihydrogen Orthophosphate,,Orthophosphate de dihydrogène monosodique,
Monosodium glutamate,,Glutamate monosodique,
Monosodium Monophosphate,,Monophosphate monosodique,
Monosodium Phosphate,,Phosphate monosodique,
Monosodium Phosphate Derivatives of Mono and Diglycerides,,Dérivés monosodiques de mono et diglycérides,
Monostarch Phosphate,,Phosphate de monarque,
Monostarch phosphate,,Monostarque phosphate,
Monounsaturated Fat,,Graisse monoinsaturée,
Monster Energy,شراب الطاقة مونستر,Monster Energy,
Montanic Acid Esters,,Acides montaniques,
Monterey Jack,مونتيري جاك,Monterey Jack,
Monterey Jack Cheese,جبنة مونتيري جاك,Fromage Monterey Jack,
Moonshine,,Alcool de contrebande,
Moose,الموظ,élan,
Mopane Worm,دودة موبان,Ver mopane,
Mortadella,مرتديلا,Mortadelle,
Mountain Dew,ماونتن ديو,Mountain Dew,
Mountain Whitefish,سمكة ماونتن وايت فش,Corégone de montagne,
Moutai,مشروب موتاي,Moutai,
Mozzarella,موزيريلا,Mozzarella,
Mr Kipling Viennese Whirl,بسكوت مستر كيبلينج فيينا,M Kipling viennese whirl,
MSG,غلوتامات أحادية الصوديوم ,Glutamate monosodique,
Mud Crab,سلطعون الطين,Crabe de boue,
Muenster Cheese,جبن مونستر,Fromage de Münster,
Muesli,شوفان مويسلي,Muesli,
Muffuletta,خبز موفوليتا,Muffuletta,
Mulberry,توت مولبيري,Mûre,
Mullein,نبات البوصفير,Mullein,
Mullet,سمك البوري,Mulet,
Multigrain Bread,الخبز المصنوع من حبوب,Pain à grains multiples,
Multigrain Flakes,رقائق متعددة الحبوب,Flocons multigrains,
Mung Bean Sheets,نودلز منج بينز,Feuilles de haricot mungo,
Mung Beans,منج بينز,Haricots mungo,
Munster Cheese,جبن مونستر,Fromage de Münster,
Mursik,حليب مخمر,Mursik,
Mushroom,فطر,Champignon,
Mushy Peas,بازلاء مهروسة,Purée de pois,
Mussel,بلح البحر,Moule,
Mustard,خردل,Moutarde,
Mustard Flour,دقيق الخردل,Farine de moutarde,
Mustard Greens,خردل هندي,Feuilles de moutarde,
Mustard Oil,زيت الخردل,Huile de moutarde,
Mustard Oil Pressed,زيت الخردل، معصور,Huile de moutarde pressée,
Mustard Plant,نبتة الخردل,Moutarde,
Mustard Seed,بذور الخردل,Graine de moutarde,
Mustard English,خردل إنجليزي,Moutarde anglaise,
Mustard Whole Grain,خردل، حبة كاملة,Moutarde grain entier,
Mutton,لحم خاروف,Viande de mouton,
Myrica Rubra,شجرة الميريكا روبرا,Myrica Rubra,
Myristic Acid,,Acide myristique,
Nabulsi Cheese,جبنة نابلسية,Fromage Nabulsi,
Nacho Cheese,جبنة ناتشو,Nacho Cheese,
Nai Lao,شراب اللبن ناي لاو,Nai Lao,
Nance,,Byrsonima crassifolia,
Nance Fruit,,Byrsonima crassifolia,
Narrow barred Spanish Mackerel,سمك الكنعد,Maquereau espagnol,
Natamycin,ناتاميسين,Natamycine,
Natural,طبيعي,Naturel,
Natural and artificial flavors,ألوان ونكهات طبيعية,Arômes naturels et artificiels,
Natural and artificial flavours,ألوان ونكهات طبيعية,Arômes naturels et artificiels,
Natural Colors ,ألوان طبيعية ,Couleurs naturelles,
Natural Colours ,ألوان طبيعية ,Couleurs naturelles,
Natural Flavoring ,منكهات طبيعية,Arôme naturel,
Natural Flavors ,نكهات طبيعية,Saveurs naturelles,
Natural Flavouring ,منكهات طبيعية,Arôme naturel,
Natural Flavours ,نكهات طبيعية,Saveurs naturelles,
Natural Sugar,سكر طبيعي,Sucre naturel,
Natural Sweeteners ,محلي طبيعي,Édulcorants naturels,
Nautilus,النوتي حيوان النوتي البحار,Nautile,
Navy Beans,فاصوليا,Haricots Navy,
NDGA,,Acide nordihydroguaïarétique,
Nduja,,Nduja,
Nectarine,نكتار,Nectarine,
Neohesperidin Dihydrochalcone,,Néohespéridine Dihydrochalcone,
Neohesperidine DC,,Néohespéridine DC,
Neotame,,Néotame,
Nerol,,Nerol,
Nesquick,نيسكويك,Nesquick,
Nettle,نبات القراص,Ortie,
Neutral Grain Spirit,,Esprit de grain neutre,
Neutral methacrylate copolymer,,Copolymère de méthacrylate neutre,
New Zealand Spinach,سبانخ نيوزيلندية,Épinards de Nouvelle Zélande,
Niacin,النياسين,Niacine,
Niacinamide,,Niacinamide,
Nice,,Nice,
Nicotinamide,,Nicotinamide,
Nicotinic Acid,حمض النيكيتون,Acide nicotinique,
Nigella,حبة البركة,Nigelle,
Nigella Sativa,حبة البركة,Nigella Sativa,
Nihamanchi,بيرة نيهامانشي,Nihamanchi,
Nisin,,Nisin,
Nitrate,نترات,Nitrate,
Nitrite,النتريت,Nitrite,
Nitrogen,نتروجين,Azote,
Nitrous Oxide,أكسيد النيتروز,Protoxyde d'azote,
No,لا,Sans,
No Added MSG,بدون غلوتامات أحادية الصوديوم ,Pas de glutamate monosodique ajouté,
No Artificial,لا صناعي,Sans produit artificiel,
No Artificial Coloring ,خال من ملونات صناعية,Aucune coloration artificielle,
No Artificial Colors,خال من ألوان صناعية,Pas de couleurs artificielles,
No Artificial Colors ,خال من ألوان صناعية,Pas de couleurs artificielles,
No Artificial Colouring ,خال من ملونات صناعية,Aucune coloration artificielle,
No Artificial Colours,خال من ملونات صناعية,Pas de couleurs artificielles,
No Artificial Colours ,خال من ملونات صناعية,Pas de couleurs artificielles,
No Artificial Flavorings ,خال من منكهات صناعية,Aucun arôme artificiel,
No Artificial Flavors ,خال من نكهات صناعية,Pas de saveurs artificielles,
No Artificial Flavourings ,خال من منكهات صناعية,Aucun arôme artificiel,
No Artificial Flavours ,خال من منكهات صناعية,Pas de saveurs artificielles,
No Artificial Preservatives,خال من مواد حافظة,Aucun agent de conservation artificiel,
No Artificial Sweeteners ,خال من محلي صناعي,Aucun édulcorant artificiel,
No knead Bread,خبز غير معجون,Pain sans pétrission,
Non Dairy Creamer,مبيض خالي من منتجات الألبان,Crémier non laitier,
Non GMO,لا يحتوي على غلوتامات أحادية الصوديوم,Sans OGM,
Nonanal,,Nonanal,
Nonfat Dry Milk,حليب مجفف خالي من الدسم,Lait écrémé en poudre,
Nool puttu,نول بوتو,Nool puttu,
Nool puttu Noodles,نودلز نول بوتو,Nouilles nool puttu,
Norbixin,,Norbixine,
Nordihydroguaiaretic Acid,,Acide nordihydroguaïarétique,
Nori,أعشاب بحرية,Nori,
Northern Pike,سمك الكراكي الرمحي الشمالي,Grand brochet,
Nureongi,كلب نيورونجي,Nureongi,
Nutmeg,جوزة الطيب,Noix de muscade,
Nutria,حيوان الكيب,Ragondin,
Nutrition Facts,حقائق غذائية,Apports nutritionnels,
Nutrition Information,معلومات غذائية,Information nutritionnelle,
Nutritional Facts typical values per 100 g,حقائق غذائية القيم النموذجية لكل 100 غرام,Valeur nutritive Valeur typique pour 100 g,
Nuvole,,Nuvole,
Oat,شوفان,Avoine,
Oat Bran,نخالة الشوفان,Son d'avoine,
Oat Flakes,رقائق الشوفان,Flocons d'avoine,
Oat Flour Whole,دقيق الشوفان ، كامل,Farine d'avoine entière,
Oat Groats,جريش الشوفان,Gruau d'avoine,
Oatmeal,شوفان,Gruau,
Oatrim,,Oatrim,
Oats Rolled,الشوفان ، ملفوف,Avoine roulée,
Occhi di Lupo,باستا أوشي دي لوبو,Occhi di Lupo,
Occhi di Pernice,باستا أوشي دي بيرنيس,Occhi di Pernice,
Ocean Perch,سمك الفرخ المحيطي,Perche d'océan,
Octanoic Acid,,Acide octanoïque,
Octenyl succinic acid modified gum arabic,,Gomme arabique modifiée à l'acide octénylsuccinique,
Octopus,أخطبوط,Poulpe,
Octyl Acetate,أوكتيل الأسيتات,Acétate d'octyle,
Octyl Alcohol,اوكتيل الكحول,Alcool octylique,
Octyl Gallate,,Gallate octylique,
of which Saturates,ومنها المشبعة,dont saturé,
of which Sugars,ومنها السكريات,dont les sucres,
Offal,تشكيلة لحوم,Abats,
Organic Chocolate Flavour,نكهة الشوكولاتة الطبيعية,Saveur chocolat organique,
Oghi,,Oghi,
Ogogoro,مشروب الأوجوروجو,Ogogoro,
Oil Noodles,زيت النودلز,Nouilles à l'huile,
Oil of Rue,نبات السذاب,Huile de rue,
Okolehao,مشروب الأوكوليهاو,Okolehao,
Okra,بامية,Gombo,
Okra Oil,زيت البامية,Huile de gombo,
Oktoberfest Beer,بيرة مهرجان أوكتوبر فست,Bière Oktoberfest,
Old Ale,البيرة القديمة,Vieille bière,
Old Roomi Cheese,جبنة رومي القديمة,Vieux Roomi,
Old Roumi Cheese,جبنة رومي القديمة,Vieux Roumi,
Oleic Acid,حمض الأوليك,Acide oléique,
Oleic Acid Derived from Tall Oil Fatty Acids,,Acide oléique dérivé d'acides gras de tall oil,
Oleomargarine,,Margarine,
Oleoresin Paprika,,Paprika oléorésine,
Oleoresins,,Oléorésines,
Olestra,,Olestra,
Oligofructose,,Oligofructose,
Olive,زيتون,Olive,
Olive Oil,زيت الزيتون,Huile d'olive,
Olive Oil Extra Virgin,زيت زيتون بكر,Huile d'Olive Extra Vierge,
Olive Oil Refined,زيت زيتون منقى,Huile d'Olive Raffinée,
Olive Oil Virgin,زيت زيتون بكر,Huile d'Olive Vierge,
Olive Pomace Oil,زيت ثفل الزيتون,Huile de grignons d'olive,
Olive Black,زيتون أسود,Olive noire,
Olive Green,زيتون أخضر,Olive verte,
Onchorhynchus Masou,,Onchorhynchus Masou,
Onion,بصل,Oignon,
Onion extract,مستخلص البصل,Extrait d'oignon,
Onion Powder,بودرة البصل,Poudre d'oignon,
Oolong Tea,شاي أولونج,Thé oolong,
Opal Fruits,حلوى أوبال فروتس,Fruits d'opale,
Opal Mints,حلوى أوبال منتس,Menthes d'opale,
Opera Cake,كيك الاوبرا,Gâteau d'opéra,
or,أو,ou,
Orange,برتقال,Orange,
Orange GGN,,Orange GGN,
Orange juice,عصير البرتقال,Jus d'orange,
Orange juice concentrate,عصير برتقال مركز,Concentré de jus d'orange,
Orange Oil,زيت برتقال,Huile d'orange,
Orange Oil Bitter,زيت برتقال مر,Huile d'orange amère,
Orange peel,قشر البرتقال,Écorce d'orange séchée,
Orange Roughy,سمك الهلبوت البرتقالي,Hoplostèthe orange,
Orange Soda,عصير برتقال غازي,Soda à l'orange,
Orange Squash,شراب الأورانج سكواش,Sirop d'orange,
Orange Blood,البرتقال، الأحمر,Orange sanguine,
Orange Clementine,البرتقال ، كليمنتين,Orange clémentine,
Orange Mandarine,البرتقال ، الماندرين,Orange mandarine,
Orange Tangerine,برتقال، يوسفي,Orange mandarine,
Orangina,,Orangina,
Orcein,,Orcéine,
Orchil,,Orchille,
Orecchiette,,Orecchiette,
Oregano,الأوريجانو الزعتر البري,Origan,
Oregano Oil,زيت الأوريجانو زيت الزعتر البري,Huile d'origan,
Oreo,أوريو,Oreo,
Organic,عضوي,Biologique,
Organic Apple Juice,عصير تفاح عضوي,Jus de pomme biologique,
Organic Barley Cereal,حبوب الشعير العضوية,Céréales d'orge biologique,
